Timestamp,Country.,Pin Code,Gender,Influencing Factors,Higher Education Aspiration,Work for 3+ Years?,Work for Unclear Mission?,Work for Inconsistent Mission?,Work for Non-Social Impact?,Preferred Working Environment?,Preferred Employers?,Which type of learning environment that you are most likely to work in ?,Which of the below careers looks close to your Aspirational job ?,Ideal Manager Type ?,Preferred Work Setup ?,Minimum Salary Expectation (First 3 Years),Expected Monthly Salary (After 5 Years)
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Business Operations in any organization,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Become a content Creator in some platform,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Business Operations in any organization,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
16-12-2022 13:29,India,515201,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",2,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Become a content Creator in some platform,Goal-Setting Supportive Manager,Work with 5 to 6 people in my team,31k to 40k,50k to 70k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Work as a freelancer and do my thing my way,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:51,India,852201,M,World Leaders,Needs a Sponser,Will Stay 3+ years,N,Will Work,8,Daily Office Environment,Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Work as a freelancer and do my thing my way,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,16k to 20k,30k to 50k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 13:54,India,731021,M,Acquiantanace,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",5,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Self Paced Learning Portals,Design and Creative strategy in any company,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Self Paced Learning Portals,Business Operations in any organization,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Self Paced Learning Portals,Design and Develop amazing software,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Instructor or Expert Learning Programs,Business Operations in any organization,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:05,India,852201,F,Parents,No,Will Stay 3+ years,N,Will Work,6,"Hybrid, <3 Days in Office",Learning-Friendly Employer,Instructor or Expert Learning Programs,Design and Develop amazing software,Target-Setting Manager,Work with 5 to 6 people in my team,21k to 25k,111k to 130k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Build and develop a Team,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Build and develop a Team,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:40,India,122003,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",7,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Alone or with 2-3 People,26k to 30k,71k to 90k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Manage and drive End-to-End Projects or Products,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Look deeply into Data and generate insights,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Design and Creative strategy in any company,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Manage and drive End-to-End Projects or Products,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 14:47,India,440002,M,Influencers,Needs a Sponser,Will Stay 3+ years,N,"No, Won't Work",7,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Trial and error by doing side projects within the company,Look deeply into Data and generate insights,Goal-Setting Supportive Manager,"Work with 2 to 3 people in my team, Work with 5 to 6 people in my team",>50k,>151k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Teaching in any of the institutes/online or Offline,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Work as a freelancer and do my thing my way,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Self Paced Learning Portals,Become a content Creator in some platform,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Teaching in any of the institutes/online or Offline,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Work as a freelancer and do my thing my way,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:07,India,826004,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Learning-Friendly Employer,Instructor or Expert Learning Programs,Become a content Creator in some platform,Manager with Clear Expectations,Work with 2 to 3 people in my team,31k to 40k,71k to 90k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Teaching in any of the institutes/online or Offline,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Teaching in any of the institutes/online or Offline,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:29,India,515003,M,Parents,No,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Learning by observing others,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,41k to 50k,131k to 150k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Build and develop a Team,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Manage and drive End-to-End Projects or Products,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:31,India,713104,M,World Leaders,Yes,Will Stay 3+ years,N,"No, Won't Work",5,"Fully Remote, No Office Visits",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Build and develop a Team,Manager Who Guides and Sets Goals,"Work with 5 to 6 people in my team, Work with 7 to 10 or more people in my team",41k to 50k,91k to 110k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Build and develop a Team,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Work as a freelancer and do my thing my way,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Become a content Creator in some platform,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Build and develop a Team,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Work as a freelancer and do my thing my way,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:44,India,505001,M,World Leaders,No,Will Stay 3+ years,N,"No, Won't Work",8,"Fully Remote, Travel as Needed",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Become a content Creator in some platform,Goal-Setting Supportive Manager,"Work alone, Work with more than 10 people in my team",31k to 40k,71k to 90k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Build and develop a Team,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Build and develop a Team,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 15:45,India,600064,F,Acquiantanace,No,Will Stay 3+ years,N,Will Work,3,"Hybrid, <15 Days in Office",Growth-Oriented Rewarding Employer,Learning by observing others,Design and Develop amazing software,Manager Who Guides and Sets Goals,Work with 5 to 6 people in my team,>50k,>151k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Instructor or Expert Learning Programs,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Instructor or Expert Learning Programs,Business Operations in any organization,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Instructor or Expert Learning Programs,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Learning by observing others,Design and Creative strategy in any company,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Learning by observing others,Business Operations in any organization,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:05,India,600089,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",4,Daily Office Environment,Employer That Stifles Growth,Learning by observing others,Look deeply into Data and generate insights,Manager Who Guides and Sets Goals,Work with 7 to 10 or more people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Business Operations in any organization,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Build and develop a Team,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Self Paced Learning Portals,Become a content Creator in some platform,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Business Operations in any organization,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Build and develop a Team,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
16-12-2022 16:41,India,785001,M,Parents,Yes,Will Stay 3+ years,N,"No, Won't Work",8,Daily Office Environment,Growth-Oriented Rewarding Employer,Instructor or Expert Learning Programs,Become a content Creator in some platform,Manager Who Guides and Sets Goals,Work with 2 to 3 people in my team,21k to 25k,50k to 70k
